id;name;description;correctionRate
Нs;Ипохондрия;"измеряет «близость» испытуемого к астено-невротическому типу личности. Для лиц этого типа забота о здоровье приобретает сверхценный характер, доминирует в системе личных ценностей, снижает уровень активности, обедняет интересы, отрывает от общественной жизни. Здоровые испытуемые с высокими оценками по шкале медлительны, пассивны, безынициативны, с негибким консервативным мышлением, склонны принимать все на веру, с покорным отношением к власти и авторитету. В общении им не хватает непринужденности, они медленно приспосабливаются и плохо переносят смену обстановки, легко теряют равновесие в социальных конфликтах. Но при этом они непритязательны, довольствуются малым, хорошо переносят привычные трудности.";0.5
D;Депрессия;"предназначена для измерения степени «близости» к гипотимическому типу личности. Высокие оценки по данной шкале свойственны чувствительным, сензитивным лицам, склонным к тревогам, робким, застенчивым, неудовлетворенным собой и своими возможностями. В делах они старательны, добросовестны, высокоморальны и обязательны, но они не способны принять какое-либо решение самостоятельно, без колебаний и неуверенности. Какая-либо работа или любая деятельность им неприятна и очень быстро их утомляет. Они не способны к продолжительному волевому усилию и при малейших затруднениях впадают в отчаяние. Окружающим такой человек представляется как пессимист, замкнутый, молчаливый, застенчивый, чрезмерно серьезный. Может выглядеть как ушедший в себя и избегающий контактов. Однако, на самом деле, личность испытывает потребность в глубоких и прочных контактах с окружающими. Личность легко идентифицирует себя с отдельными людьми, явлениями, и если это отождествление нарушается, то личность воспринимает это как катастрофу, приводящей ее к снижению настроения. Уже лишь одна угроза разрыва гармоничных отношений может вызвать у таких лиц тревогу. Поэтому их отгороженность – это стремление избежать разочарования. В действительности же эти личности стремятся привлечь и удержать внимание окружающих, дорожат их оценкой, стремятся приобрести и сохранить их. В ситуациях фрустрации для них более характерны интрапунитивные реакции – чувство вины, гнев, направленный на себя, аутоагрессия, вплоть до суицида. На ситуацию дезадаптации реагирует астенией, инертностью, пассивностью, отказом от реализации эгоцентрических установок в сложной конфликтной ситуации.";
Ну;Истерия;"сформирована для выявления лиц, склонных к невротическим защитным реакциям конверсионного типа. Они используют симптомы физического заболевания как средство разрешения затруднительных ситуаций или как способ избежать полной ответственности. Все проблемы разрешаются «уходом» в болезнь. Они охотно «играют» роль больного, а общество поэтому должно освободить их от ответственности до выздоровления, которое наступает, лишь когда исчезают трудности. Но как только появляется угроза вернуться к реальности, этим лицам сразу опять становится хуже. Это не притворство, а устойчивый бессознательный способ психической адаптации. Все признаки социальных причин тревоги вытесняются из сознания, а дезадаптация ощущается как физическое заболевание. У людей с высокими оценками по этой шкале отмечается способность к вытеснению факторов, вызывающих тревогу; демонстративное подчеркивание соматического неблагополучия с тенденцией отрицать затруднения в социальной адаптации. Высокая способность к вытеснению, позволяющая эффективно устранять тревогу, в то же время затрудняет формирование достаточно устойчивого поведения: постоянно возникают новые роли, задачи и оценки. Люди этого типа не обладают достаточно развитым внутренним миром, их переживания ориентированы на внешнего наблюдателя. Игнорирование отрицательных сигналов извне позволяет сохранять высокую самооценку, переходящей в самолюбование. Такое поведение может привести к бесцеремонности, некритичности в оценке ситуации. Личность стремится быть в центре внимания, ищет признания и поддержки и добивается этого настойчивыми действиями. Склонность к фантазированию, эгоцентризм, незрелость и поверхностность в контактах. Обычно затрудняет деятельность группы, которая должна планомерно и длительное время решать какую-либо проблему. Проявляются чаще декларации, невозможность длительного и упорядоченного усилия по выполнению длительной деятельности. Лучше проявляет себя в ситуациях, где надо быстро менять свою роль, где присутствуют кратковременные контакты, умение приспосабливаться к различным людям. В конфликтах чаще всего используются для самозащиты соматические жалобы, которые носят поверхностный характер.";
Рd;Психопатия;"измеряет схожесть испытуемого с социопатическим вариантом развития личности. Высокие оценки по этой шкале свидетельствуют о социальной дезадаптации в широком смысле этого слова. Временный подъем профиля по шкале может быть признаком ситуативной, проходящей дезадаптации, вызванной какой-либо причиной. В этом случае изменение обстоятельств изменит и оценку по шкале психопатии. Стабильно высокие показатели – признак хронической дезадаптации, которая стала свойством личности. Характеризуется пренебрежением к принятым общественным нормам, моральным и этическим ценностям, установившимся правилам поведения и обычаям. В зависимости от уровня активности это пренебрежение проявляется в гневных и агрессивных реакциях или выражается более или менее пассивно. Протест против принятых норм может ограничиваться семьей и ближайшим окружением, но может приобретать генерализированный характер. Поведение плохо предсказуемо, неумение планировать будущие поступки и пренебрежение последствиями своих действий. Недостаточная способность извлекать пользу из опыта приводит их к повторным конфликтам с окружающими. Непосредственная реализация возникающих побуждений и недостаточная способность прогнозировать приводить к отсутствию тревоги и страха перед потенциальным наказанием. Ситуации, которые не повлекли за собой тяжелых последствий, также не вызывают тревоги или депрессии. В межличностных отношениях (даже в интимных) личность отличается поверхностным и нестойким отношением, редко возникает чувство глубокой привязанности. Личность ненадежна в длительном общении, поскольку склонна к дисфориям. В общем – эгоцентризм, импульсивность, эмоциональная незрелость, конфликтность.";0.4
Ра;Паранойяльность;"измеряет степень «близости» испытуемого к паранойяльному типу личности. Самой характерной чертой лиц паранойяльного типа является склонность к формированию так называемых сверхценных идей. Эти идеи постепенно овладевают их сознанием и оказывают определяющее влияние на все поведение. Основными чертами психики людей с паранойяльным характером являются большой эгоизм, самодовольство и чрезмерное самомнение. Это люди крайне узкие, односторонние: вся окружающая действительность имеет для них интерес, лишь поскольку она касается их личности, а что не касается их лично, не затрагивает их «Я», кажется им малоинтересным, не заслуживающим внимания. Поэтому они повышенно чувствительны ко всему, что задевает их личность. Малейшим неудачам придается чрезвычайно большое значение, а удачи переоцениваются. Они постоянно готовы к аффективной реакции на любое реальное или мнимое действие по отношению к их личности, чрезвычайно заботятся о своем личном престиже, любое возражение, несогласие или просто равнодушие воспринимаются ими как личная обида и оскорбление. Всех людей они оценивают только по тому, как те относятся к их деятельности, к их словам и идеям. Кто не согласен с ними, кто думает иначе, по-своему, тот или глупый человек, или враг. Поскольку человек с паранойяльным типом личности не просто имеет свои собственные взгляды, но и активно их насаждает, стеничен в осуществлении своих планов, то у него часты конфликты с окружающими. Он агрессивен, злопамятен, безжалостен. Видя причину своих несчастий в определенных людях, он считает своим долгом мстить, не прощает никому никакой мелочи, никакого проступка. Он не боится единоборства с более сильными и властью, а потерпев поражение, не отчаивается и не унывает, а, наоборот, в неудачах черпает силы для новой борьбы.";
Рt;Психастения;" предназначена для диагностики лиц с тревожно-мнительным типом характера. Основной характерной чертой лиц тревожно-мнительного типа является конституациональная предрасположенность к возникновению тревожных реакций, а устранение этой тревоги достигается путем формирования ограниченного поведения. Сензитивность, страх, тревога, немотивированные опасения, неуверенность в себе и в своей компетентности, пониженная самооценка, навязчивость. Тревожно-мнительная личность, низкий порог фрустраций, напряженность, самокритичность, эмпатийность, трудности социального приспособления, застенчивость, боязливость. Низкая способность к вытеснению и повышенное внимание к отрицательным сигналам. Стремление удержать в центре внимания даже несущественные факты, учитывать и предвидеть даже маловероятные возможности. В результате ситуация никогда не представляется достаточно определенной, что еще более усиливает постоянную тревожность. Поэтому неспособность отделять фон от сигнала, увеличение эмоциональной значимости фона приводит к ослаблению концентрации внимания, к сомнениям и колебаниям при необходимости принять решение, тревогу и страхи по поводу возможных последствий своих действий. Поскольку каждый новый сигнал воспринимается как угроза, то личность придерживается уже испытанных приемов деятельности. В своей деятельности руководствуется главным образом не потребностью достичь успеха, а стремлением избежать неуспех и поведение испытуемого определяется страхом перед возможностью повлечь на себя опасность неверным поступком. Этот страх лежит в основе ограничений своего поведения, особенно там, где успех не гарантирован. В тех же областях, где приходится действовать, испытуемый стремится контролировать успешность своей деятельности с помощью разработки высокого внутреннего стандарта, с которым сопоставляется действие и результат. Такие лица описываются окружающими как добросовестные, тщательно выполняющие свои обязанности, сдержанные во внешних проявлениях и нерешительные.";1
Sc;Шизоидность;" предназначена для диагностики шизоидного типа личности. Общей чертой шизоидного типа является сочетание повышенной чувствительности с эмоциональной холодностью и отчужденностью в межличностных отношениях. Шизоидный тип формируется в тех случаях, когда даже незначительные фрустрации ведут к возникновению стойких и длительных отрицательных эмоций, а компенсация достигается путем ухода из окружающей среды во внутренний мир. Эмоциональная холодность, своеобразие восприятия и суждений, необычность мыслей и поступков, избирательность или поверхностность контактов. Ориентировка на внутренние критерии, утрата способности к интуитивному пониманию окружающих, к проигрыванию их ролей и в связи с этим нарушение адекватного эмоционального реагирования. Для личности трудно, а порой невозможно взглянуть на себя со стороны и включить себя в окружающий мир. Поскольку в силу неудовлетворенности и ранимости четко сформированное представление о социальной ситуации у этих лиц часто оказывается источником напряженности, длительных и интенсивных отрицательных эмоций, они избегают ясных и четких формулировок и у них отсутствует четкое представление о том, как именно они должны вести себя в той или иной ситуации или чего именно ждут от них окружающие. Они способны тонко чувствовать и эмоционально реагировать на воображаемые, абстрактные образы, но обычные повседневные радости и горести не вызывают у них эмоционального отклика. Они остаются равнодушными и холодными к просьбам своих друзей и близких, не интересуются жизненными проблемами, часто бывают обидчивы, злобны, агрессивны и конфликтны. Их душевные движения мало кем понимаются, а они сами не могут и не стремятся никого понимать. Внимание их избирательно направлено только на интересующие их проблемы, вне рамок которых они проявляют полное безразличие и неосведомленность. Отношения с людьми носят сухой, официальный характер. Судьбами окружающих людей не интересуются, в чужие переживания не вникают, требуют безукоснительного выполнения служебных обязанностей и обещаний.";1
Ма;Гипомания;"предназначена для измерения степени «близости» испытуемого к гипертимному типу личности. Для лиц с высокими оценками по шкале характерно приподнятое настроение независимо от обстоятельств. Они активны, деятельны, энергичны и жизнерадостны. Энтузиазм и предприимчивость свойственны им не по причине повышенного честолюбия, а в силу большого любопытства, жажды деятельности, безрассудно-смелой тяги к новому, к острым ощущениям. Они любят работу с частыми переменами, тяготятся однообразием и своими обязанностями, охотно контактируют с людьми. У них высокая потребность в общении, в том, чтобы делиться с людьми своими переживаниями, потребность в «слиянии с миром». Их тянет ко всему яркому, броскому. Они кокетливы, любят яркие наряды, обычно хорошие танцоры, спортсмены, хотя здесь их интересует не результат, а сам процесс. У них широкие вариабельные жесты, богатая мимика, хорошая координация. Нередко эти лица бывают одарены и интеллектуально. Они обладают многосторонними способностями, деятельны и активны, но интересы их поверхностны и неустойчивы, им не хватает настойчивости и выдержки. Все поведение лиц этого типа характеризуется усилением влечений и ослаблением задержек. Поэтому они часто не замечают границы между дозволенным и запретным. Это люди, не терпящие стеснения своей свободы, не считающиеся с чужим мнением, не переносящие критики в свой адрес, с повышенным самомнением, часто лживые, необязательные и недобросовестные.";0.2
L;Ложь;предназначена для оценки искренности испытуемого. Высокие значения по этой шкале получают люди, стремящиеся произвести благоприятное впечатление и потому склоняющиеся в своих ответах в сторону социальной желательности, демонстрирующие строгое соблюдение социальных норм.
F;Достоверность; составлена для выявления недостоверных результатов, связанных со стремлением подчеркнуть тяжесть своего состояния, многочисленность конфликтов, а также для выявления технических ошибок, совершаемых испытуемым или экспериментатором. Оценки по этой шкале высокие, если имеется аггравация, подчеркивание патопсихологической симптоматики или при случайном характере ответов, когда испытуемый мало обращает внимания на содержание утверждений
